vis09[appealing],vis09[artistic],vis09[attractive],vis09[balanced],vis09[beautiful],vis09[clean],vis09[cluttered],vis09[colorHarmonious],vis09[creative],vis09[delightful],vis09[elegant],vis09[engaging],vis09[enjoyable],vis09[exciting],vis09[fascinating],vis09[harmonious],vis09[interesting],vis09[inviting],vis09[likable],vis09[lovely],vis09[motivating],vis09[nice],vis09[organized],vis09[pleasing],vis09[pretty],vis09[professional],vis09[provoking],vis09[satisfying],vis09[sophisticated],vis09[tasteful],vis09[wellDesigned]
6.0,6.0,6.0,7.0,4.0,7.0,1.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
2.0,2.0,2.0,5.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,5.0,3.0,2.0
2.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,5.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,5.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,4.0
2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0
3.0,1.0,3.0,3.0,5.0,6.0,3.0,1.0,3.0,6.0,6.0,3.0,4.0,1.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,7.0,2.0,5.0,5.0,6.0,6.0
2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0
3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0
3.0,3.0,2.0,6.0,2.0,6.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0
1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,4.0,2.0
3.0,4.0,3.0,5.0,3.0,2.0,4.0,6.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,6.0,4.0,3.0
2.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
4.0,2.0,5.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2.0,1.0,1.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,2.0,3.0,4.0
3.0,4.0,1.0,4.0,3.0,2.0,3.0,1.0,6.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,4.0,2.0,2.0
3.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
6.0,5.0,6.0,5.0,6.0,4.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,1.0,6.0,5.0,5.0,6.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,6.0,5.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,2.0,1.0,2.0,1.0
6.0,6.0,5.0,5.0,6.0,4.0,1.0,7.0,6.0,5.0,5.0,5.0,6.0,1.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,2.0,6.0,6.0,5.0,5.0
2.0,1.0,2.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,3.0
5.0,5.0,2.0,3.0,3.0,1.0,4.0,1.0,5.0,2.0,2.0,5.0,4.0,2.0,5.0,1.0,6.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,6.0,5.0,3.0,6.0,4.0,5.0
1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0
5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,5.0
2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0
3.0,2.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0
4.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,5.0,3.0,2.0,4.0,4.0,6.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,5.0
2.0,6.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,3.0,1.0,1.0
2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0
2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,5.0,4.0,5.0,2.0,5.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0
3.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,5.0,3.0,1.0,3.0,3.0
1.0,2.0,2.0,6.0,2.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,6.0,2.0,2.0,1.0,4.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
2.0,1.0,1.0,3.0,1.0,6.0,4.0,6.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,6.0,1.0,3.0,1.0,1.0,3.0
4.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0
1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,3.0,3.0,3.0
5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,6.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,6.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0
2.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,4.0,5.0,5.0,4.0
3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0
1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
2.0,3.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,6.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,3.0
4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,6.0,4.0,3.0,6.0,4.0,5.0
2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0
6.0,2.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0
2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
3.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,6.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,6.0,4.0,5.0,4.0,3.0
2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0
4.0,7.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0
3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0
4.0,3.0,4.0,5.0,5.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0
6.0,6.0,4.0,6.0,6.0,5.0,3.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,2.0,6.0,6.0,5.0,6.0,5.0
2.0,5.0,3.0,1.0,2.0,1.0,3.0,6.0,5.0,4.0,2.0,6.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,6.0,5.0,1.0,4.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0
3.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0
5.0,5.0,5.0,6.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,6.0
2.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,6.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0
3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
