vis14[appealing],vis14[artistic],vis14[attractive],vis14[balanced],vis14[beautiful],vis14[clean],vis14[cluttered],vis14[colorHarmonious],vis14[creative],vis14[delightful],vis14[elegant],vis14[engaging],vis14[enjoyable],vis14[exciting],vis14[fascinating],vis14[harmonious],vis14[interesting],vis14[inviting],vis14[likable],vis14[lovely],vis14[motivating],vis14[nice],vis14[organized],vis14[pleasing],vis14[pretty],vis14[professional],vis14[provoking],vis14[satisfying],vis14[sophisticated],vis14[tasteful],vis14[wellDesigned]
1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,5.0
2.0,5.0,3.0,5.0,3.0,2.0,1.0,5.0,6.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0
4.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0
2.0,5.0,3.0,5.0,2.0,7.0,1.0,3.0,5.0,3.0,2.0,6.0,4.0,2.0,4.0,4.0,6.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,2.0,5.0,4.0,3.0,6.0,4.0,5.0
3.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0
5.0,5.0,1.0,4.0,4.0,4.0,1.0,6.0,4.0,1.0,3.0,5.0,1.0,6.0,4.0,6.0,5.0,1.0,5.0,1.0,4.0,2.0,6.0,3.0,2.0,7.0,6.0,1.0,4.0,2.0,5.0
4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,6.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,6.0
5.0,6.0,6.0,6.0,5.0,7.0,2.0,6.0,6.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0
3.0,5.0,2.0,5.0,1.0,6.0,2.0,3.0,6.0,1.0,1.0,6.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,5.0,2.0,6.0,1.0,2.0,6.0,6.0,4.0,5.0,3.0,6.0
3.0,6.0,3.0,5.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,6.0
1.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0,6.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0
2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0
7.0,6.0,7.0,6.0,4.0,6.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,7.0,5.0,5.0,6.0
4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0
7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0
3.0,3.0,6.0,6.0,4.0,7.0,4.0,7.0,6.0,4.0,7.0,7.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,7.0,4.0,7.0,5.0,4.0,5.0,4.0,7.0
4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0
6.0,6.0,3.0,5.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0
4.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,5.0
3.0,6.0,4.0,4.0,5.0,4.0,1.0,6.0,7.0,5.0,5.0,6.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,6.0,2.0,4.0,6.0,3.0,6.0
4.0,5.0,5.0,5.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,5.0
4.0,5.0,3.0,4.0,5.0,6.0,2.0,4.0,5.0,4.0,2.0,5.0,3.0,4.0,6.0,2.0,6.0,3.0,3.0,4.0,4.0,5.0,6.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,6.0
3.0,5.0,4.0,4.0,3.0,6.0,1.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,6.0,2.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,6.0,3.0,5.0,3.0,3.0,6.0
7.0,5.0,7.0,4.0,5.0,7.0,1.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0
3.0,5.0,3.0,5.0,3.0,6.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,6.0,4.0,3.0,2.0,4.0,3.0,6.0,1.0,3.0,6.0,4.0,4.0,3.0,4.0,6.0
1.0,2.0,2.0,5.0,4.0,6.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,4.0,7.0,3.0,2.0,2.0,2.0,6.0
4.0,5.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,3.0,4.0,6.0,3.0,4.0,6.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,6.0,4.0,5.0,4.0,6.0
5.0,6.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,6.0,5.0,6.0,4.0,6.0,4.0,4.0,5.0,6.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0
5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,6.0,2.0,3.0,5.0,4.0,5.0,6.0,3.0,6.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,6.0,4.0,3.0,3.0,5.0
3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0
4.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,6.0,4.0,4.0,6.0,5.0,6.0,6.0,5.0,7.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0
5.0,2.0,2.0,5.0,5.0,5.0,1.0,6.0,5.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,6.0,2.0,5.0,3.0,2.0,5.0,6.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,6.0
3.0,5.0,1.0,5.0,1.0,4.0,2.0,4.0,6.0,2.0,1.0,5.0,2.0,1.0,4.0,5.0,4.0,2.0,1.0,3.0,3.0,4.0,6.0,3.0,1.0,5.0,2.0,3.0,1.0,4.0,5.0
1.0,6.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,6.0,1.0,5.0,7.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,5.0
3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,6.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,6.0,3.0,3.0,2.0,3.0,3.0,6.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0
5.0,5.0,5.0,4.0,4.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0
3.0,6.0,3.0,4.0,3.0,6.0,2.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,6.0,6.0,2.0,3.0,2.0,2.0,1.0,6.0,3.0,3.0,7.0,6.0,2.0,7.0,4.0,7.0
1.0,1.0,1.0,5.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,5.0,1.0,1.0,5.0,3.0,6.0
2.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,6.0,6.0,2.0,2.0,6.0,5.0,3.0,3.0,2.0,7.0
4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0
5.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,2.0,5.0,2.0,5.0,4.0,4.0,6.0,2.0,7.0,6.0,3.0,4.0,4.0,4.0,6.0,4.0,2.0,6.0,6.0,6.0,2.0,4.0,6.0
2.0,3.0,5.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0
7.0,7.0,7.0,6.0,7.0,6.0,2.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0
1.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,3.0,1.0,4.0,4.0,4.0
5.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,6.0,3.0,2.0,6.0,5.0,5.0,3.0,5.0,5.0
3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,6.0,3.0,4.0,5.0,3.0,4.0
2.0,4.0,2.0,6.0,1.0,6.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0,6.0,5.0,2.0,2.0,2.0,3.0,7.0,2.0,2.0,6.0,5.0,4.0,3.0,6.0,6.0
5.0,6.0,5.0,5.0,4.0,5.0,2.0,5.0,7.0,3.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,6.0,6.0,5.0,6.0,2.0,5.0,5.0,4.0,6.0
2.0,5.0,2.0,6.0,2.0,3.0,2.0,7.0,5.0,2.0,1.0,6.0,3.0,6.0,5.0,1.0,7.0,2.0,2.0,1.0,5.0,2.0,4.0,1.0,2.0,4.0,7.0,4.0,4.0,3.0,6.0
1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,5.0
4.0,6.0,6.0,5.0,3.0,5.0,2.0,6.0,4.0,4.0,2.0,5.0,6.0,4.0,7.0,2.0,6.0,5.0,6.0,4.0,4.0,6.0,5.0,5.0,2.0,5.0,5.0,6.0,4.0,2.0,6.0
1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0
3.0,5.0,4.0,6.0,3.0,5.0,4.0,5.0,6.0,2.0,5.0,6.0,4.0,6.0,7.0,6.0,6.0,4.0,4.0,2.0,5.0,4.0,6.0,5.0,4.0,7.0,6.0,6.0,6.0,3.0,6.0
4.0,5.0,3.0,5.0,2.0,5.0,2.0,6.0,7.0,2.0,2.0,6.0,4.0,5.0,5.0,3.0,6.0,3.0,4.0,2.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,6.0,3.0,4.0
7.0,7.0,7.0,7.0,7.0,6.0,1.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,6.0,3.0,4.0,6.0,4.0,5.0,6.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,5.0,4.0,6.0,4.0,6.0
1.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,5.0,2.0,2.0,1.0,5.0
5.0,5.0,4.0,5.0,5.0,4.0,3.0,6.0,5.0,4.0,3.0,6.0,5.0,4.0,6.0,5.0,6.0,5.0,6.0,3.0,3.0,6.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0
6.0,7.0,6.0,5.0,5.0,7.0,1.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,7.0,4.0,6.0,6.0,4.0,6.0
6.0,5.0,6.0,6.0,5.0,6.0,2.0,5.0,4.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,4.0,5.0,5.0,4.0,7.0
3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0
3.0,2.0,3.0,3.0,2.0,3.0,4.0,6.0,4.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0
5.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0
1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0
2.0,3.0,1.0,5.0,2.0,5.0,1.0,5.0,3.0,2.0,4.0,5.0,2.0,2.0,6.0,6.0,2.0,4.0,4.0,2.0,5.0,4.0,6.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0
5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,6.0,5.0,5.0,6.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,6.0,3.0,4.0,4.0,5.0
1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,2.0,6.0,6.0,6.0,2.0,5.0,4.0,1.0,1.0,4.0,6.0,6.0,4.0,3.0,5.0,5.0,5.0,5.0,6.0
4.0,7.0,5.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,6.0,6.0,3.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0
3.0,5.0,3.0,4.0,4.0,6.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,2.0,6.0,4.0,5.0,2.0,3.0,1.0,2.0,5.0,6.0,3.0,2.0,6.0,4.0,5.0,4.0,4.0,6.0
5.0,6.0,6.0,6.0,6.0,7.0,2.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,7.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,7.0
4.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0
5.0,5.0,2.0,6.0,2.0,6.0,3.0,6.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,7.0,5.0,2.0,5.0,3.0,3.0,3.0,5.0,5.0
4.0,4.0,4.0,4.0,2.0,6.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,6.0,3.0,3.0,7.0,5.0,4.0,5.0,4.0,5.0
1.0,6.0,1.0,6.0,1.0,5.0,2.0,7.0,7.0,1.0,4.0,5.0,1.0,1.0,5.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,7.0,6.0,1.0,6.0,5.0,7.0
3.0,5.0,3.0,3.0,3.0,5.0,3.0,6.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,4.0,6.0,3.0,5.0,2.0,6.0,3.0,5.0,3.0,3.0,5.0,6.0,5.0,6.0,3.0,5.0
4.0,5.0,2.0,5.0,2.0,6.0,3.0,5.0,3.0,4.0,3.0,6.0,4.0,4.0,5.0,5.0,6.0,4.0,3.0,4.0,3.0,3.0,6.0,2.0,3.0,7.0,6.0,5.0,4.0,3.0,6.0
3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,6.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0
4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0
6.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,3.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,7.0
2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0
4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0
7.0,7.0,5.0,5.0,7.0,7.0,3.0,5.0,5.0,4.0,6.0,7.0,6.0,6.0,7.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,2.0,7.0,7.0,4.0,7.0
3.0,6.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,6.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
4.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0
5.0,3.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,6.0,1.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0
5.0,6.0,5.0,6.0,5.0,5.0,3.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,7.0,5.0,3.0,7.0,3.0,5.0,4.0,4.0,7.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,1.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0
1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,3.0
4.0,5.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0
