vis11[appealing],vis11[artistic],vis11[attractive],vis11[balanced],vis11[beautiful],vis11[clean],vis11[cluttered],vis11[colorHarmonious],vis11[creative],vis11[delightful],vis11[elegant],vis11[engaging],vis11[enjoyable],vis11[exciting],vis11[fascinating],vis11[harmonious],vis11[interesting],vis11[inviting],vis11[likable],vis11[lovely],vis11[motivating],vis11[nice],vis11[organized],vis11[pleasing],vis11[pretty],vis11[professional],vis11[provoking],vis11[satisfying],vis11[sophisticated],vis11[tasteful],vis11[wellDesigned]
5.0,6.0,3.0,5.0,4.0,5.0,2.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0
2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0
5.0,7.0,4.0,5.0,5.0,3.0,1.0,3.0,5.0,4.0,3.0,4.0,6.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,6.0,4.0,3.0,1.0,6.0,5.0,4.0,4.0
5.0,5.0,4.0,6.0,4.0,6.0,1.0,7.0,6.0,4.0,2.0,6.0,5.0,3.0,2.0,5.0,4.0,5.0,6.0,4.0,2.0,5.0,5.0,5.0,6.0,1.0,3.0,6.0,3.0,3.0,5.0
5.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0
5.0,5.0,5.0,5.0,5.0,3.0,2.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,6.0,3.0,5.0,5.0,4.0,5.0
4.0,5.0,3.0,4.0,2.0,2.0,2.0,6.0,7.0,2.0,2.0,4.0,2.0,1.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,2.0,2.0,4.0
3.0,5.0,4.0,1.0,3.0,4.0,4.0,5.0,6.0,3.0,1.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,1.0,1.0
3.0,6.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0
2.0,5.0,4.0,3.0,2.0,4.0,3.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0
6.0,6.0,5.0,4.0,6.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,6.0,5.0,6.0,3.0,6.0,6.0,7.0,6.0,5.0,6.0,2.0,6.0,5.0,4.0,2.0,6.0,6.0,5.0,6.0
3.0,5.0,5.0,2.0,4.0,1.0,2.0,6.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,1.0,5.0,4.0,3.0,5.0,2.0,2.0,3.0,2.0
4.0,6.0,6.0,4.0,6.0,4.0,4.0,6.0,7.0,6.0,5.0,4.0,7.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0
4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0
3.0,5.0,3.0,3.0,5.0,3.0,2.0,5.0,6.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0
3.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0
5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0
5.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,6.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0
3.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0
4.0,5.0,5.0,1.0,4.0,2.0,3.0,1.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0
1.0,5.0,1.0,2.0,2.0,1.0,3.0,6.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0
2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,3.0
5.0,6.0,6.0,5.0,5.0,3.0,3.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,2.0,5.0,3.0,4.0,6.0,4.0,3.0,4.0,5.0,5.0,4.0
4.0,3.0,3.0,5.0,3.0,5.0,2.0,6.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,5.0,5.0,6.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0
6.0,6.0,5.0,5.0,5.0,5.0,2.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0
3.0,5.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0
6.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0
2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0
4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0
5.0,7.0,6.0,4.0,5.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,7.0,6.0,2.0,5.0,5.0
4.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,6.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,6.0,2.0,5.0,2.0,5.0
4.0,6.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,5.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,7.0,6.0,2.0,4.0,2.0,2.0,2.0,6.0,4.0,5.0,6.0,3.0,6.0,6.0,2.0,7.0,2.0,5.0,2.0,4.0,5.0,1.0,4.0,6.0,1.0,4.0,5.0,5.0,4.0,2.0
5.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,7.0,5.0,3.0,7.0,7.0,6.0,7.0,4.0,7.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,7.0,5.0,3.0,5.0,4.0
1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,5.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,3.0,1.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,6.0,3.0,5.0,3.0,3.0
7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
3.0,7.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0
3.0,6.0,4.0,5.0,4.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,3.0
5.0,5.0,7.0,4.0,3.0,3.0,4.0,6.0,7.0,3.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0,6.0,6.0,3.0,3.0,6.0,5.0,6.0,5.0
2.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,5.0,6.0,6.0,6.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,6.0,3.0,2.0
5.0,3.0,3.0,6.0,2.0,5.0,2.0,6.0,3.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,4.0,2.0,3.0,6.0,3.0,3.0,6.0
7.0,7.0,7.0,5.0,7.0,6.0,3.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,2.0,7.0,7.0,6.0,7.0
3.0,6.0,6.0,3.0,5.0,3.0,4.0,7.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,6.0,3.0,4.0,3.0,5.0,4.0,3.0
5.0,6.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0
5.0,6.0,5.0,6.0,3.0,5.0,3.0,7.0,6.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,6.0,4.0,3.0,4.0,5.0
2.0,6.0,2.0,1.0,2.0,1.0,1.0,5.0,6.0,2.0,1.0,4.0,3.0,3.0,6.0,1.0,6.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,1.0
3.0,5.0,3.0,3.0,5.0,2.0,3.0,6.0,5.0,3.0,3.0,2.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0
2.0,5.0,2.0,4.0,3.0,4.0,3.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0
2.0,7.0,5.0,2.0,4.0,3.0,1.0,7.0,6.0,2.0,5.0,5.0,4.0,3.0,6.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,6.0
3.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0
6.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0
5.0,6.0,5.0,5.0,3.0,3.0,2.0,6.0,6.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0
3.0,6.0,3.0,3.0,4.0,2.0,3.0,4.0,6.0,2.0,1.0,6.0,5.0,6.0,5.0,3.0,6.0,2.0,5.0,2.0,3.0,5.0,3.0,4.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0
7.0,6.0,6.0,5.0,5.0,3.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,3.0,4.0,3.0,5.0,5.0,6.0,2.0,4.0,5.0,4.0,6.0,6.0
1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0
2.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,6.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0
4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
2.0,5.0,2.0,5.0,2.0,5.0,2.0,6.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0
6.0,6.0,6.0,2.0,7.0,2.0,1.0,5.0,7.0,5.0,2.0,6.0,6.0,7.0,7.0,3.0,6.0,6.0,6.0,4.0,4.0,6.0,2.0,6.0,6.0,5.0,7.0,6.0,4.0,4.0,7.0
5.0,7.0,6.0,6.0,6.0,2.0,3.0,5.0,7.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,5.0,6.0,6.0,5.0,4.0,5.0,2.0,6.0,6.0,3.0,5.0,6.0,4.0,6.0,5.0
5.0,5.0,5.0,1.0,2.0,3.0,1.0,6.0,6.0,4.0,1.0,1.0,3.0,1.0,2.0,5.0,7.0,5.0,1.0,4.0,4.0,3.0,2.0,4.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0
5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0
5.0,5.0,6.0,6.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,6.0,4.0
5.0,7.0,6.0,4.0,7.0,4.0,3.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,7.0,2.0,6.0,5.0,6.0,2.0,6.0,7.0,6.0,6.0
2.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0
7.0,7.0,6.0,2.0,6.0,4.0,1.0,6.0,7.0,2.0,2.0,2.0,4.0,6.0,2.0,2.0,7.0,2.0,1.0,6.0,6.0,6.0,2.0,2.0,6.0,7.0,7.0,2.0,4.0,2.0,4.0
6.0,6.0,6.0,5.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,5.0
5.0,6.0,5.0,4.0,5.0,6.0,2.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0,4.0,6.0,2.0,4.0,4.0,5.0,6.0
2.0,5.0,3.0,3.0,4.0,2.0,1.0,6.0,5.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0
2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.0,3.0,3.0,2.0,3.0
1.0,6.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,3.0,4.0,6.0,6.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,5.0,1.0,7.0,3.0,2.0,4.0,1.0
6.0,7.0,6.0,6.0,6.0,1.0,1.0,7.0,7.0,6.0,1.0,7.0,6.0,6.0,6.0,6.0,7.0,1.0,4.0,6.0,2.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,5.0,1.0
2.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0
2.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,5.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0
7.0,6.0,7.0,7.0,6.0,7.0,3.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0
6.0,5.0,5.0,5.0,5.0,6.0,3.0,6.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,7.0
2.0,5.0,7.0,6.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,4.0,5.0,5.0,3.0,2.0,4.0,2.0,6.0,5.0,3.0,7.0,5.0
3.0,5.0,6.0,6.0,5.0,2.0,2.0,6.0,7.0,5.0,3.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,6.0,5.0,2.0,4.0,2.0,4.0,4.0,1.0,7.0,5.0,2.0,5.0,1.0
6.0,7.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,7.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,6.0,3.0,2.0,2.0,5.0,2.0,1.0
2.0,5.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0
